VALUE,EVT_Fuel,EVT_Name,EVT_LF,SystemGroupID,SystmGrpPhys,SystmGrpName,SAF_SRM,NVCSOrder,NVCSClass,NVCSSubclass,r,g,b,Red,Green,Blue
3446,2446,South Florida Pine Flatwoods,Tree,684,Conifer,Pine Flatwoods,SRM 811: South Florida Flatwoods,Tree-dominated,Open tree canopy,Evergreen open tree canopy,116,214,204,0.454902,0.839216,0.800000
3447,2447,South Florida Cypress Dome,Tree,657,Hardwood,Cypress,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Evergreen open tree canopy,91,195,199,0.356863,0.764706,0.780392
3448,2448,Southern Piedmont Dry Oak-Pine Forest,Tree,664,Hardwood-Conifer,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 59: Yellow Poplar-White Oak-Northern Red Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,159,255,128,0.623529,1.000000,0.501961
3449,2449,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,Tree,684,Conifer,Pine Flatwoods,SAF 98 : Pond Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,116,214,204,0.454902,0.839216,0.800000
3450,2450,Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,Tree,684,Conifer,Pine Flatwoods,SAF 83: Longleaf Pine-Slash Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,116,214,204,0.454902,0.839216,0.800000
3451,2451,West Gulf Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,Tree,684,Conifer,Pine Flatwoods,SAF 83: Longleaf Pine-Slash Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,116,214,204,0.454902,0.839216,0.800000
3452,2452,Atlantic Coastal Plain Peatland Pocosin and Canebrake,Tree,687,Shrubland,Pocosin,LF 48: Pocosin,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,91,195,199,0.356863,0.764706,0.780392
3453,2453,Central Florida Pine Flatwoods,Tree,684,Conifer,Pine Flatwoods,SAF 83: Longleaf Pine-Slash Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,116,214,204,0.454902,0.839216,0.800000
3454,2454,East Gulf Coastal Plain Near-Coast Pine Flatwoods,Tree,684,Conifer,Pine Flatwoods,SAF 83: Longleaf Pine-Slash Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,116,214,204,0.454902,0.839216,0.800000
3455,2455,East Gulf Coastal Plain Southern Loblolly Flatwoods,Tree,684,Conifer,Pine Flatwoods,SAF 91: Swamp Chestnut Oak-Cherrybark Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,100,204,206,0.392157,0.800000,0.807843
3456,2456,Northern Atlantic Coastal Plain Pitch Pine Lowland,Tree,686,Conifer,Pitch Pine Woodlands,SAF 45: Pitch Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,116,214,204,0.454902,0.839216,0.800000
3457,2457,South-Central Interior/Upper Coastal Plain Wet Flatwoods,Tree,673,Hardwood,Hardwood Flatwoods,SAF 88: Willow Oak-Water Oak-Diamondleaf Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,145,255,115,0.568627,1.000000,0.450980
3458,2458,West Gulf Coastal Plain Pine Flatwoods,Tree,684,Conifer,Pine Flatwoods,SAF 82: Loblolly Pine-Hardwood,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,145,255,115,0.568627,1.000000,0.450980
3459,2459,Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,Tree,657,Hardwood,Cypress,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,91,195,199,0.356863,0.764706,0.780392
3460,2460,Southern Coastal Plain Nonriverine Cypress Dome,Tree,657,Hardwood,Cypress,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Evergreen open tree canopy,91,195,199,0.356863,0.764706,0.780392
3461,2461,Southern Coastal Plain Seepage Swamp and Baygall,Tree,694,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,216,216,191,0.847059,0.847059,0.749020
3462,2462,West Gulf Coastal Plain Seepage Swamp and Baygall,Tree,694,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,216,216,191,0.847059,0.847059,0.749020
3463,2463,Central Appalachian Dry Oak Forest,Tree,664,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,13,69,133,0.050980,0.270588,0.521569
3466,2466,Great Lakes Wooded Dune and Swale,Tree,675,Riparian,Inland Marshes and Prairies,SAF 1: Jack Pine,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,174,245,224,0.682353,0.960784,0.878431
3467,2467,Tamaulipan Floodplain Forest,Tree,666,Riparian,Eastern Floodplain Forests,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Deciduous open tree canopy,6,53,122,0.023529,0.207843,0.478431
3468,2468,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,Tree,694,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,216,216,191,0.847059,0.847059,0.749020
3469,2469,Eastern Great Plains Floodplain Systems,Tree,666,Riparian,Eastern Floodplain Forests,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Deciduous open tree canopy,6,53,122,0.023529,0.207843,0.478431
3470,2470,Caribbean Coastal Wetland Systems,Tree,678,Riparian,Mangrove,SAF 106: Mangrove,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,91,195,199,0.356863,0.764706,0.780392
3471,2471,Central Interior and Appalachian Floodplain Systems,Tree,666,Riparian,Eastern Floodplain Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,92,0,0.000000,0.360784,0.000000
3472,2472,Central Interior and Appalachian Riparian Systems,Tree,668,Riparian,Eastern Small Stream Riparian Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,92,0,0.000000,0.360784,0.000000
3473,2473,Gulf and Atlantic Coastal Plain Floodplain Systems,Tree,666,Riparian,Eastern Floodplain Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,145,255,115,0.568627,1.000000,0.450980
3474,2474,Gulf and Atlantic Coastal Plain Small Stream Riparian Woodland,Tree,668,Riparian,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,145,255,115,0.568627,1.000000,0.450980
3475,2475,Laurentian-Acadian Floodplain Systems,Tree,666,Riparian,Eastern Floodplain Forests,SAF 39: Black Ash-American Elm-Red Maple,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,50,137,168,0.196078,0.537255,0.658824
3476,2476,Tamaulipan Riparian Woodland,Tree,668,Riparian,Eastern Small Stream Riparian Forests,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,6,53,122,0.023529,0.207843,0.478431
3477,2477,Boreal Acidic Peatland Systems,Tree,683,Riparian,Peatland Forests,SAF 13: Black Spruce-Tamarack,Shrub-dominated,Shrubland,Mixed evergreen-deciduous open tree canopy,186,163,119,0.729412,0.639216,0.466667
3478,2478,Caribbean Swamp System,Tree,694,Riparian,Atlantic Swamp Forests,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Evergreen open tree canopy,91,195,199,0.356863,0.764706,0.780392
3479,2479,Central Interior and Appalachian Swamp Systems,Tree,694,Riparian,Atlantic Swamp Forests,SAF 61: River Birch-Sycamore,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,92,0,0.000000,0.360784,0.000000
3480,2480,Gulf and Atlantic Coastal Plain Swamp Systems,Tree,694,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,216,216,191,0.847059,0.847059,0.749020
3481,2481,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Tree,694,Riparian,Atlantic Swamp Forests,SAF 39: Black Ash-American Elm-Red Maple,Shrub-dominated,Shrubland,Mixed evergreen-deciduous open tree canopy,50,137,168,0.196078,0.537255,0.658824
3482,2482,Great Plains Prairie Pothole,Herb,650,Riparian,Depressional Wetland,LF 43: Great Plains Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91,195,199,0.356863,0.764706,0.780392
3483,2483,South Florida Everglades Sawgrass Marsh,Herb,653,Riparian,Atlantic Coastal Marsh,SRM 818: Florida Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1.000000,0.600000,0.000000
3485,2485,East Gulf Coastal Plain Savanna and Wet Prairie,Herb,675,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1.000000,0.600000,0.000000
3486,2486,Texas Saline Coastal Prairie,Herb,675,Riparian,Inland Marshes and Prairies,SRM 806: Gulf Coast Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1.000000,0.600000,0.000000
3488,2488,Eastern Great Plains Wet Meadow-Prairie-Marsh,Herb,650,Riparian,Depressional Wetland,LF 43: Great Plains Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91,195,199,0.356863,0.764706,0.780392
3489,2489,Floridian Highlands Freshwater Marsh,Herb,675,Riparian,Inland Marshes and Prairies,SRM 819: Freshwater Marsh and Ponds,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1.000000,0.600000,0.000000
3490,2490,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Shrub,653,Riparian,Atlantic Coastal Marsh,SRM 818: Florida Salt Marsh,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,153,0,1.000000,0.600000,0.000000
3491,2491,Acadian Salt Marsh and Estuary Systems,Herb,653,Riparian,Atlantic Coastal Marsh,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,92,38,1.000000,0.360784,0.149020
3492,2492,Great Lakes Coastal Marsh Systems,Herb,675,Riparian,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,92,38,1.000000,0.360784,0.149020
3493,2493,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Herb,675,Riparian,Inland Marshes and Prairies,LF 45: Central Interior and Appalachian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,91,195,199,0.356863,0.764706,0.780392
3494,2494,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Tree,675,Riparian,Inland Marshes and Prairies,LF 44: Laurentian-Acadian Herbaceous Wetland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Mixed evergreen-deciduous open tree canopy,255,92,38,1.000000,0.360784,0.149020
3495,2495,Western Great Plains Depressional Wetland Systems,Herb,650,Riparian,Depressional Wetland,SRM 601: Bluestem Prairie,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,137,64,1.000000,0.537255,0.250980
3497,2497,Central Interior and Appalachian Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3498,2498,Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3499,2499,Laurentian-Acadian Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated,100,100,100,0.392157,0.392157,0.392157
3501,2501,Southern Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,Tree,694,Riparian,Atlantic Swamp Forests,SAF 97: Atlantic White Cedar,Tree-dominated,Open tree canopy,Deciduous open tree canopy,216,216,191,0.847059,0.847059,0.749020
3502,2502,Central Appalachian Dry Oak-Pine Forest,Tree,664,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,13,69,133,0.050980,0.270588,0.521569
3503,2503,Chihuahuan Loamy Plains Desert Grassland,Herb,617,Grassland,Grassland,SRM 701: Alkali Sacaton-Tobosa Grass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,204,51,1.000000,0.800000,0.200000
3504,2504,Chihuahuan-Sonoran Desert Bottomland and Swale Grassland,Herb,650,Riparian,Depressional Wetland,SRM 701: Alkali Sacaton-Tobosa Grass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,204,51,1.000000,0.800000,0.200000
3506,2506,West Gulf Coastal Plain Nonriverine Wet Hardwood Flatwoods,Tree,673,Hardwood,Hardwood Flatwoods,SAF 88: Willow Oak-Water Oak-Diamondleaf Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,145,255,115,0.568627,1.000000,0.450980
3507,2507,Ozark-Ouachita Shortleaf Pine-Bluestem Woodland,Tree,689,Conifer,Shortleaf Pine Woodland,SAF 75: Shortleaf Pine,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,116,214,190,0.454902,0.839216,0.745098
3509,2509,Mississippi River Alluvial Plain Dry-Mesic Loess Slope Forest,Tree,667,Hardwood,White Oak-Beech Forest and Woodland,SAF 53: White Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,85,187,194,0.333333,0.733333,0.760784
3510,2510,Crowley's Ridge Sand Forest,Tree,690,Conifer-Hardwood,Shortleaf Pine-Oak Forest and Woodland,SAF 76: Shortleaf Pine-Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,116,214,190,0.454902,0.839216,0.745098
3511,2511,Appalachian Northern Hardwood Forest,Tree,685,Hardwood,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,0,38,115,0.000000,0.149020,0.450980
3512,2512,Appalachian Hemlock-Northern Hardwood Forest,Tree,685,Conifer-Hardwood,Pine-Hemlock-Hardwood Forest,SAF 60: Sugar Maple-Beech,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,0,38,115,0.000000,0.149020,0.450980
3513,2513,Lower Mississippi River Flatwoods,Tree,684,Conifer,Pine Flatwoods,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Deciduous closed tree canopy,145,255,115,0.568627,1.000000,0.450980
3517,2517,Paleozoic Plateau Bluff and Talus,Tree,663,Hardwood,Black Oak Woodland and Savanna,SAF 110: Black Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,85,187,194,0.333333,0.733333,0.760784
3518,2518,North-Central Interior Wet Flatwoods,Tree,673,Hardwood,Hardwood Flatwoods,SAF 65: Pin Oak-Sweetgum,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,145,255,115,0.568627,1.000000,0.450980
3519,2519,East-Central Texas Plains Post Oak Savanna and Woodland,Tree,662,Hardwood,Post Oak Woodland and Savanna,SAF 40: Post Oak-Blackjack Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,85,187,194,0.333333,0.733333,0.760784
3522,2522,Northern Atlantic Coastal Plain Heathland,Shrub,674,Shrubland,Heathland and Grassland,LF 49: Atlantic Coastal Plain Shrubland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,240,165,46,0.941176,0.647059,0.180392
3523,2523,Edwards Plateau Dry-Mesic Slope Forest and Woodland,Tree,696,Conifer-Hardwood,Juniper-Oak,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,34,109,153,0.133333,0.427451,0.600000
3524,2524,Edwards Plateau Mesic Canyon,Tree,605,Hardwood,Bigtooth Maple Woodland,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,34,109,153,0.133333,0.427451,0.600000
3525,2525,Edwards Plateau Riparian,Tree,668,Riparian,Eastern Small Stream Riparian Forests,LF 42: Great Plains Riparian,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,6,53,122,0.023529,0.207843,0.478431
3526,2526,Laurentian-Acadian Swamp Systems,Tree,694,Riparian,Atlantic Swamp Forests,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous open tree canopy,186,54,14,0.729412,0.211765,0.054902
3527,2527,East Gulf Coastal Plain Interior Oak Forest,Tree,690,Conifer-Hardwood,Shortleaf Pine-Oak Forest and Woodland,SAF 76: Shortleaf Pine-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,116,214,190,0.454902,0.839216,0.745098
3528,2531,Ruderal Upland Vegetation,Shrub,740,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,59,20,1.000000,0.231373,0.078431
3529,2531,Ruderal Upland Vegetation,Herb,740,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,59,20,1.000000,0.231373,0.078431
3531,2531,Ruderal Upland Vegetation,Tree,740,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,59,20,1.000000,0.231373,0.078431
3532,2532,Ruderal Forest-Northern and Central Hardwood and Conifer,Tree,740,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,255,59,20,1.000000,0.231373,0.078431
3533,2533,Ruderal Forest-Southeast Hardwood and Conifer,Tree,740,Conifer-Hardwood,Ruderal Forest,LF 53: Ruderal Forest,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,255,59,20,1.000000,0.231373,0.078431
3534,2534,Managed Tree Plantation-Northern and Central Hardwood and Conifer Plantation Group,Tree,731,Conifer,Managed Tree Plantation,LF 61: Managed Tree Plantation,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,158,67,14,0.619608,0.262745,0.054902
3535,2535,Managed Tree Plantation-Southeast Conifer and Hardwood Plantation Group,Tree,731,Conifer,Managed Tree Plantation,LF 61: Managed Tree Plantation,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,158,67,14,0.619608,0.262745,0.054902
3536,2536,Introduced Wetland Vegetation-Tree,Tree,708,Riparian,Introduced Woody Wetland Vegetation,LF 58: Introduced Woody Wetlands and Riparian Vegetation,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,0,132,168,0.000000,0.517647,0.658824
3538,2538,Introduced Wetland Vegetation-Herbaceous,Herb,709,Exotic Herbaceous,Introduced Herbaceous Wetland Vegetation,LF 59: Introduced Herbaceous Wetland and Riparian Vegetation,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,0,132,168,0.000000,0.517647,0.658824
3539,2539,Modified/Managed Northern Tallgrass Grassland,Herb,711,Grassland,Modified-Managed Prairie Grassland,LF 69: Modified-Managed Grassland,Herbaceous - Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,204,0,1.000000,0.800000,0.000000
3540,2540,Modified/Managed Southern Tallgrass Grassland,Herb,711,Grassland,Modified-Managed Prairie Grassland,LF 69: Modified-Managed Grassland,Herbaceous - Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,204,0,1.000000,0.800000,0.000000
3546,2546,East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,Tree,690,Conifer-Hardwood,Shortleaf Pine-Oak Forest and Woodland,SAF 76: Shortleaf Pine-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,116,214,190,0.454902,0.839216,0.745098
3550,2550,Pinus taeda Forest Alliance,Tree,697,Conifer,Loblolly Pine Forest and Woodland,SAF 81: Loblolly Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,145,255,115,0.568627,1.000000,0.450980
3551,2551,Pinus elliottii Saturated Temperate Woodland Alliance,Tree,684,Conifer-Hardwood,Pine Flatwoods,SAF 84: Slash Pine,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,13,69,133,0.050980,0.270588,0.521569
3552,2552,Pinus palustris-Pinus elliottii Forest Alliance,Tree,677,Conifer,Longleaf Pine Woodland,SAF 70: Longleaf Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,116,214,204,0.454902,0.839216,0.800000
3553,2553,Mixed Loblolly-Slash Pine,Tree,698,Conifer,Loblolly Pine-Slash Pine Forest and Woodland,SAF 83: Longleaf Pine-Slash Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,116,214,204,0.454902,0.839216,0.800000
3554,2554,Acadian Low-Elevation Hardwood Forest,Tree,693,Conifer-Hardwood,Spruce-Fir-Hardwood Forest,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,186,54,14,0.729412,0.211765,0.054902
3555,2555,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Tree,693,Conifer-Hardwood,Spruce-Fir-Hardwood Forest,SAF 33: Red Spruce-Balsam Fir,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,186,54,14,0.729412,0.211765,0.054902
3556,2556,Central Appalachian Rocky Oak Woodland,Tree,664,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,13,69,133,0.050980,0.270588,0.521569
3557,2557,Central Appalachian Rocky Pine-Oak Woodland,Tree,664,Conifer-Hardwood,Chestnut Oak-Virginia Pine Forest and Woodland,SAF 44: Chestnut Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,13,69,133,0.050980,0.270588,0.521569
3558,2383,Edwards Plateau Limestone Savanna and Woodland,Herb,662,Hardwood,Post Oak Woodland and Savanna,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,34,109,153,0.133333,0.427451,0.600000
3559,2383,Edwards Plateau Limestone Savanna and Woodland,Shrub,662,Hardwood,Post Oak Woodland and Savanna,SRM 733: Juniper-Oak,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,34,109,153,0.133333,0.427451,0.600000
3560,2391,Tamaulipan Mesquite Upland Scrub,Shrub,613,Shrubland,Desert Scrub,SRM 728: Mesquite-Ganjeno-Acacia,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,82,52,34,0.321569,0.203922,0.133333
3561,2410,Llano Uplift Acidic Forest-Woodland-Glade,Herb,670,Conifer-Hardwood,Glades and Barrens,SRM 733: Juniper-Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,34,109,153,0.133333,0.427451,0.600000
3562,2476,Tamaulipan Riparian Systems,Shrub,668,Riparian,Eastern Small Stream Riparian Forests,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,6,53,122,0.023529,0.207843,0.478431
3563,2525,Edwards Plateau Riparian,Shrub,668,Riparian,Eastern Small Stream Riparian Forests,LF 42: Great Plains Riparian,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,6,53,122,0.023529,0.207843,0.478431
3564,2540,Modified/Managed Southern Tallgrass Grassland,Shrub,711,Grassland,Modified-Managed Prairie Grassland,LF 69: Modified-Managed Grassland,Herbaceous - Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,204,0,1.000000,0.800000,0.000000
3565,2387,Florida Peninsula Inland Scrub,Tree,691,Shrubland,Southern Scrub Oak,SAF 72: Southern Scrub Oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,145,255,115,0.568627,1.000000,0.450980
3566,2425,Florida Dry Prairie,Shrub,688,Grassland,Prairies and Barrens,SRM 814: Cabbage Palms Flatwoods,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,116,214,204,0.454902,0.839216,0.800000
3567,2430,Southern Coastal Plain Blackland Prairie and Woodland,Tree,688,Grassland,Prairies and Barrens,SAF 46: Eastern Redcedar,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,0,38,115,0.000000,0.149020,0.450980
3568,2433,East Gulf Coastal Plain Jackson Prairie and Woodland,Tree,688,Grassland,Prairies and Barrens,SRM 717: Little Bluestem-Indiangrass-Texas Wintergrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,148,71,1.000000,0.580392,0.278431
3569,2449,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,Shrub,684,Conifer,Pine Flatwoods,SAF 98 : Pond Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,116,214,204,0.454902,0.839216,0.800000
3570,2460,Southern Coastal Plain Nonriverine Cypress Dome,Herb,657,Hardwood,Cypress,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Evergreen open tree canopy,91,195,199,0.356863,0.764706,0.780392
3571,2461,Southern Coastal Plain Seepage Swamp and Baygall,Shrub,694,Riparian,Atlantic Swamp Forests,LF 46: Atlantic Coastal Plain Swamp,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,216,216,191,0.847059,0.847059,0.749020
3572,2447,South Florida Cypress Dome,Herb,657,Hardwood,Cypress,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Evergreen open tree canopy,91,195,199,0.356863,0.764706,0.780392
3573,2474,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Herb,668,Riparian,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,145,255,115,0.568627,1.000000,0.450980
3574,2474,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Shrub,668,Riparian,Eastern Small Stream Riparian Forests,SAF 92: Sweetgum-Willow Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,145,255,115,0.568627,1.000000,0.450980
3575,2478,Caribbean Swamp System,Herb,694,Riparian,Atlantic Swamp Forests,SAF 100: Pond Cypress,Tree-dominated,Open tree canopy,Evergreen open tree canopy,91,195,199,0.356863,0.764706,0.780392
