VALUE,EVT_Fuel,EVT_Name,EVT_LF,SystemGroupID,SystmGrpPhys,SystmGrpName,SAF_SRM,NVCSOrder,NVCSClass,NVCSSubclass,r,g,b,Red,Green,Blue
3037,2037,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Tree,615,Conifer,Douglas-fir-Western Hemlock Forest and Woodland,SAF 230: Douglas-Fir-Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,105,0,0.000000,0.411765,0.000000
3038,2038,North Pacific Maritime Mesic Subalpine Parkland,Tree,627,Conifer,Mountain Hemlock Forest and Woodland,SAF 205: Mountain Hemlock,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,92,0,0.000000,0.360784,0.000000
3039,2039,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Tree,615,Conifer,Douglas-fir-Western Hemlock Forest and Woodland,SAF 230: Douglas-Fir-Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,105,0,0.000000,0.411765,0.000000
3041,2041,North Pacific Mountain Hemlock Forest,Tree,627,Conifer,Mountain Hemlock Forest and Woodland,SAF 205: Mountain Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,92,0,0.000000,0.360784,0.000000
3042,2042,North Pacific Mesic Western Hemlock-Silver Fir Forest,Tree,642,Conifer,Western Hemlock-Silver Fir Forest,SAF 226: Coastal True Fir-Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,71,0,0.000000,0.278431,0.000000
3043,2043,Mediterranean California Mixed Evergreen Forest,Tree,626,Conifer,California Mixed Evergreen Forest and Woodland,SAF 234: Douglas-Fir-Tanoak-Pacific Madrone,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,61,0,0.000000,0.239216,0.000000
3044,2044,Northern California Mesic Subalpine Woodland,Tree,627,Conifer,Mountain Hemlock Forest and Woodland,SAF 205: Mountain Hemlock,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,92,0,0.000000,0.360784,0.000000
3045,2045,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Tree,625,Conifer,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,51,0,0.000000,0.200000,0.000000
3046,2046,Northern Rocky Mountain Subalpine Woodland and Parkland,Tree,640,Conifer,Subalpine Woodland and Parkland,SAF 208: Whitebark Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,191,255,233,0.749020,1.000000,0.913725
3047,2047,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Tree,643,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 213: Grand Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,96,255,71,0.376471,1.000000,0.278431
